"","samp_name","source_mat_id","sample_alt_lab_ids","biosamples_accession","tissue_type","molecular_sex","molecular_sex_reference","samp_taxon_common","samp_taxon_ID","specific_host","latitude","longitude","geo_loc_name","site_name","sample_age","sample_age_upper","sample_age_lower","sample_age_inference_methods","c14_age","c14_age_sd","c14_lab_code","delta_13_c","delta_13_c_sd","sample_age_reference","nuclear_sequencing_platform","nuclear_library_strategy","nuclear_depth_of_coverage","nuclear_damage_treatment","nuclear_lib_strandedness","nuclear_reference","mt_sequencing_platform","mt_library_strategy","mt_targeted_region","mt_depth_of_coverage","mt_damage_treatment","mt_lib_strandedness","mt_accession","mt_reference","curator_comments","curated_by","curation_complete",".sheet"
"360","Pyrenica2","MNHN ZM AC 1947-1","Pyrenica2","SAMEA13853358","mandible, UBERON:0001684","M","https://doi.org/10.7554/eLife.82989","Pyrenean ibex","80419","Capra, capra pyrenica","missing","missing","missing","missing","4","24","4","historical records","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.16","full-udg","double","https://doi.org/10.7554/eLife.82989","not applicable","WGS","not applicable","51.2","not applicable","not applicable","OW568860.1","not applicable","Unclear year of death","Kevin","Yes","capra"
"361","Qazvin1","MM TCHZ2","KD179","SAMEA4591768","petrous part of temporal bone, UBERON_0001708","F","https://doi.org/10.1126/science.aas9411","Goat","9925","Capra, Capra hircus","35.783","49.416","Iran","Tepe Chizar, Qazvin","4100","4350","3850","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","3.16","full-udg","double","https://doi.org/10.1126/science.aas9411","ILLUMINA","Targeted-Capture","complete","448.01","full-udg","double","LS992639.1","doi.org/10.1126/science.aas9411",NA,"Kevin","Yes","capra"
"362","Safi2","8.7.2009, W, 1270007, 1270007, 174.20-174.05","KD215","SAMEA4609155","petrous part of temporal bone, UBERON_0001708","F","https://doi.org/10.1126/science.aas9411","Goat","9925","Capra, Capra hircus","31.699722","34.846944","Israel","Tel es-Safi, Ashkelon","4685","4850","4520","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","not applicable","full-udg","double","https://doi.org/10.1126/science.aas9411","ILLUMINA","Targeted-Capture","complete","134.14","full-udg","double","LS992638.1","doi.org/10.1126/science.aas9411",NA,"Kevin","Yes","capra"
"363","Semnan1-2","MM TSC2; MM TSC3","KD111;KD112","SAMEA4591756; SAMEA4591757","petrous part of temporal bone, UBERON_0001708","F","https://doi.org/10.1126/science.aas9412","Goat","9925","Capra, Capra hircus","36.504158","55.000786","Iran","Sang-e Chakhmaq, Semnan","9144","9409","8789","C14","8157","74","UBA-33144","missing","missing","missing","ILLUMINA","WGS","6.85","full-udg","double","https://doi.org/10.1126/science.aas9412","not applicable","WGS","not applicable","533.55","not applicable","not applicable","LS992643.1","not applicable","Different biosamples drawn from different petrous bones of opposite orientation, same sex, same mtDNA,>0.9 kinship coefficient - assumed to be same individual","Kevin","Yes","capra"
"364","Semnan3","MM TSC5","KD113","SAMEA4591758","petrous part of temporal bone, UBERON_0001712","F","https://doi.org/10.1126/science.aas9416","Goat","9925","Capra, Capra hircus","36.504158","55.000786","Iran","Sang-e Chakhmaq, Semnan","8055.5","8171","7940","C14","7214","53","UBA-33145","missing","missing","missing","ILLUMINA","WGS","14.89","full-udg","double","https://doi.org/10.1126/science.aas9416","not applicable","WGS","not applicable","887.12","not applicable","not applicable","LS992642.1","not applicable",NA,"Kevin","Yes","capra"
"365","Semnan7","MM TSC9","KD152","SAMEA4589054","petrous part of temporal bone, UBERON_0001713","M","https://doi.org/10.1126/science.aas9417","Goat","9925","Capra, Capra hircus","36.504158","55.000786","Iran","Sang-e Chakhmaq, Semnan","7950","8200","7700","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","3.28","full-udg","double","https://doi.org/10.1126/science.aas9417","not applicable","WGS","not applicable","204.62","not applicable","not applicable","LS992651.1","not applicable",NA,"Kevin","Yes","capra"
"366","Semnan8","MM TSC8","AH004","SAMEA4591759","petrous part of temporal bone, UBERON_0001714","F","https://doi.org/10.1126/science.aas9418","Goat","9925","Capra, Capra hircus","36.504158","55.000786","Iran","Sang-e Chakhmaq, Semnan","7950","8200","7700","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","0.21","full-udg","double","https://doi.org/10.1126/science.aas9418","not applicable","WGS","not applicable","76.45","not applicable","not applicable","LS992652.1","not applicable",NA,"Kevin","Yes","capra"
"367","Semnan9","MM TSC10-1","AH005-1","SAMEA4591760","petrous part of temporal bone, UBERON_0001715","M","https://doi.org/10.1126/science.aas9419","Goat","9925","Capra, Capra hircus","36.504158","55.000786","Iran","Sang-e Chakhmaq, Semnan","7950","8200","7700","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","3.05","full-udg","double","https://doi.org/10.1126/science.aas9419","not applicable","WGS","not applicable","394.12","not applicable","not applicable","LS992645.1","not applicable",NA,"Kevin","Yes","capra"
"368","Semnan10","MM TSC10-2","AH005-2","SAMEA4591755","petrous part of temporal bone, UBERON_0001709","M","https://doi.org/10.1126/science.aas9413","Goat","9925","Capra, Capra hircus","36.504158","55.000786","Iran","Sang-e Chakhmaq, Semnan","7950","8200","7700","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","1.43","full-udg","double","https://doi.org/10.1126/science.aas9413","not applicable","WGS","not applicable","369.08","not applicable","not applicable","LS992647.1","not applicable",NA,"Kevin","Yes","capra"
"369","Semnan13","MM TSC10","AH005-3","SAMEA4607423","petrous part of temporal bone, UBERON_0001710","F","https://doi.org/10.1126/science.aas9414","Goat","9925","Capra, Capra hircus","36.504158","55.000786","Iran","Sang-e Chakhmaq, Semnan","7950","8200","7700","stratigraphic inference","not applicable","not applicable","not applicable","not applicable","not applicable","not applicable","ILLUMINA","WGS","2.54","full-udg","double","https://doi.org/10.1126/science.aas9414","not applicable","WGS","not applicable","109.05","not applicable","not applicable","LS992650.1","not applicable",NA,"Kevin","Yes","capra"
